estacao,municipio,lat,lon,pm25,pm10,no2,perfil,sulfato_ug_m3,nitrato_ug_m3,carbono_organico_ug_m3,carbono_elementar_ug_m3,poeira_mineral_ug_m3
Pinheiros,São Paulo,-23.5614,-46.702,18.4,33.2,38.5,Urbano / Trafego,3.31,2.94,6.26,2.58,3.31
Cerqueira César,São Paulo,-23.5535,-46.6727,20.1,36.8,44.2,Corredor Central,3.62,3.22,6.83,2.81,3.62
Congonhas,São Paulo,-23.6163,-46.6635,22.8,41.5,49.0,Aeroportuario / Eixo Sul,4.1,3.65,7.75,3.19,4.1
Parque D. Pedro II,São Paulo,-23.5448,-46.6277,21.5,39.4,46.8,Centro Historico,3.87,3.44,7.31,3.01,3.87
Santana,São Paulo,-23.505,-46.6288,17.6,32.0,36.4,Zona Norte,3.17,2.82,5.98,2.46,3.17
Mooca,São Paulo,-23.55,-46.5986,19.3,35.7,41.0,Misto / Industrial,3.47,3.09,6.56,2.7,3.47
Grajaú - Parelheiros,São Paulo,-23.7767,-46.6953,12.3,24.1,21.5,Mananciais / Fundo,2.21,1.97,4.18,1.72,2.21
Interlagos,São Paulo,-23.6806,-46.6753,15.8,29.6,30.2,Represa / Residencial,2.84,2.53,5.37,2.21,2.84
Santo Amaro,São Paulo,-23.6525,-46.7094,18.0,34.0,39.5,Comercial / Sul,3.24,2.88,6.12,2.52,3.24
Itaquera,São Paulo,-23.58,-46.458,16.9,31.8,33.1,Zona Leste,3.04,2.7,5.75,2.37,3.04
Mauá,Mauá,-23.6683,-46.4614,20.7,38.5,43.0,Polo Petroquimico,3.73,3.31,7.04,2.9,3.73
Santo André - Capuava,Santo André,-23.645,-46.495,21.2,39.1,45.2,Industrial ABC,3.82,3.39,7.21,2.97,3.82
São Caetano do Sul,São Caetano do Sul,-23.6181,-46.5575,19.5,36.2,42.1,Urbano Denso,3.51,3.12,6.63,2.73,3.51
Diadema,Diadema,-23.6872,-46.6125,18.9,35.1,37.8,Industrial Sul,3.4,3.02,6.43,2.65,3.4
Osasco,Osasco,-23.5267,-46.7919,20.4,38.0,43.6,Eixo Oeste,3.67,3.26,6.94,2.86,3.67
Guarulhos,Guarulhos,-23.4633,-46.5283,19.8,37.4,41.9,Rodoviario / Aeroporto,3.56,3.17,6.73,2.77,3.56
Taboão da Serra,Taboão da Serra,-23.6067,-46.7583,17.9,33.5,35.7,Eixo Regis,3.22,2.86,6.09,2.51,3.22
