estacao,municipio,latitude,longitude,altitude_m,pm25_medio,pm10_medio,no2_medio,dias_ultrapassagem_oms,perfil,qualidade_ar
Pinheiros,São Paulo,-23.5614,-46.702,725,18.4,33.2,38.5,58,Urbano / Tráfego Intenso,Moderada (Meta Intermediária 4)
Cerqueira César,São Paulo,-23.5535,-46.6727,792,20.1,36.8,44.2,67,Urbano / Tráfego Intenso,Moderada (Meta Intermediária 4)
Congonhas,São Paulo,-23.6163,-46.6635,780,22.8,41.5,49.0,76,Urbano / Aeroportuário,Moderada (Meta Intermediária 4)
Parque D. Pedro II,São Paulo,-23.5448,-46.6277,725,21.5,39.4,46.8,71,Centro Urbano / Comercial,Moderada (Meta Intermediária 4)
Santana,São Paulo,-23.505,-46.6288,735,17.6,32.0,36.4,52,Residencial / Comercial,Moderada (Meta Intermediária 4)
Mooca,São Paulo,-23.55,-46.5986,730,19.3,35.7,41.0,63,Misto / Industrial Histórico,Moderada (Meta Intermediária 4)
Grajaú - Parelheiros,São Paulo,-23.7767,-46.6953,790,12.3,24.1,21.5,31,Periférico / Mananciais,Boa (Dentro da meta OMS 24h)
Interlagos,São Paulo,-23.6806,-46.6753,745,15.8,29.6,30.2,44,Urbano / Represa,Moderada (Meta Intermediária 4)
Santo Amaro,São Paulo,-23.6525,-46.7094,730,18.0,34.0,39.5,56,Comercial / Eixo Viário,Moderada (Meta Intermediária 4)
Itaquera,São Paulo,-23.58,-46.458,745,16.9,31.8,33.1,49,Residencial Periférico,Moderada (Meta Intermediária 4)
Mauá,Mauá,-23.6683,-46.4614,770,20.7,38.5,43.0,69,Industrial / Polo Petroquímico,Moderada (Meta Intermediária 4)
Santo André - Capuava,Santo André,-23.645,-46.495,760,21.2,39.1,45.2,73,Industrial / Polo Petroquímico,Moderada (Meta Intermediária 4)
São Caetano do Sul,São Caetano do Sul,-23.6181,-46.5575,744,19.5,36.2,42.1,64,Urbano Denso / Eixo Mauá,Moderada (Meta Intermediária 4)
Diadema,Diadema,-23.6872,-46.6125,765,18.9,35.1,37.8,61,Industrial / Automotivo,Moderada (Meta Intermediária 4)
Osasco,Osasco,-23.5267,-46.7919,750,20.4,38.0,43.6,68,Urbano / Eixo Castelo Branco,Moderada (Meta Intermediária 4)
Guarulhos - Paço Municipal,Guarulhos,-23.4633,-46.5283,760,19.8,37.4,41.9,65,Urbano / Rodovias Dutra-Airpt,Moderada (Meta Intermediária 4)
Taboão da Serra,Taboão da Serra,-23.6067,-46.7583,740,17.9,33.5,35.7,54,Eixo Rodoviário Régis Bittencourt,Moderada (Meta Intermediária 4)
