estacao,poluente,datahora_utc,indice,lon,lat,conc_ug_m3_estimada
Americana,MP10,2026-09-11 19:00:00+00:00,11.0,-47.34745636799994,-22.724506901999973,
Americana,MP10,2026-09-11 20:00:00+00:00,11.0,-47.34745636799994,-22.724506901999973,
Americana,MP10,2026-09-11 21:00:00+00:00,11.0,-47.34745636799994,-22.724506901999973,
Americana,MP10,2026-09-11 22:00:00+00:00,11.0,-47.34745636799994,-22.724506901999973,
Americana,MP10,2026-09-11 23:00:00+00:00,12.0,-47.34745636799994,-22.724506901999973,
Americana,MP10,2026-09-12 00:00:00+00:00,12.0,-47.34745636799994,-22.724506901999973,
Americana,MP10,2026-09-12 01:00:00+00:00,13.0,-47.34745636799994,-22.724506901999973,
Americana,MP10,2026-09-12 02:00:00+00:00,13.0,-47.34745636799994,-22.724506901999973,
Americana,MP10,2026-09-12 03:00:00+00:00,13.0,-47.34745636799994,-22.724506901999973,
Americana,MP10,2026-09-12 04:00:00+00:00,14.0,-47.34745636799994,-22.724506901999973,
Americana,MP10,2026-09-12 05:00:00+00:00,15.0,-47.34745636799994,-22.724506901999973,
Americana,MP10,2026-09-12 06:00:00+00:00,15.0,-47.34745636799994,-22.724506901999973,
Americana,MP10,2026-09-12 07:00:00+00:00,14.0,-47.34745636799994,-22.724506901999973,
Americana,MP10,2026-09-12 08:00:00+00:00,14.0,-47.34745636799994,-22.724506901999973,
Americana,MP10,2026-09-12 09:00:00+00:00,14.0,-47.34745636799994,-22.724506901999973,
Americana,MP10,2026-09-12 10:00:00+00:00,14.0,-47.34745636799994,-22.724506901999973,
Americana,MP10,2026-09-12 11:00:00+00:00,14.0,-47.34745636799994,-22.724506901999973,
Americana,MP10,2026-09-12 12:00:00+00:00,14.0,-47.34745636799994,-22.724506901999973,
Americana,MP10,2026-09-12 13:00:00+00:00,13.0,-47.34745636799994,-22.724506901999973,
Americana,MP10,2026-09-12 14:00:00+00:00,13.0,-47.34745636799994,-22.724506901999973,
Americana,MP10,2026-09-12 15:00:00+00:00,13.0,-47.34745636799994,-22.724506901999973,
Americana,MP10,2026-09-12 16:00:00+00:00,12.0,-47.34745636799994,-22.724506901999973,
Americana,MP10,2026-09-12 17:00:00+00:00,12.0,-47.34745636799994,-22.724506901999973,
Americana,MP10,2026-09-12 18:00:00+00:00,12.0,-47.34745636799994,-22.724506901999973,
Americana,MP10,2026-09-12 19:00:00+00:00,12.0,-47.34745636799994,-22.724506901999973,
Americana,MP10,2026-09-12 20:00:00+00:00,11.0,-47.34745636799994,-22.724506901999973,
Americana,MP10,2026-09-12 21:00:00+00:00,11.0,-47.34745636799994,-22.724506901999973,
Americana,MP10,2026-09-12 22:00:00+00:00,11.0,-47.34745636799994,-22.724506901999973,
Americana,MP10,2026-09-12 23:00:00+00:00,11.0,-47.34745636799994,-22.724506901999973,
Americana,MP10,2026-09-13 00:00:00+00:00,11.0,-47.34745636799994,-22.724506901999973,
Americana,MP10,2026-09-13 01:00:00+00:00,11.0,-47.34745636799994,-22.724506901999973,
Americana,MP10,2026-09-13 02:00:00+00:00,11.0,-47.34745636799994,-22.724506901999973,
Americana,MP10,2026-09-13 03:00:00+00:00,10.0,-47.34745636799994,-22.724506901999973,
Americana,MP10,2026-09-13 04:00:00+00:00,10.0,-47.34745636799994,-22.724506901999973,
Americana,MP10,2026-09-13 05:00:00+00:00,10.0,-47.34745636799994,-22.724506901999973,
Americana,MP10,2026-09-13 06:00:00+00:00,11.0,-47.34745636799994,-22.724506901999973,
Americana,MP10,2026-09-13 07:00:00+00:00,11.0,-47.34745636799994,-22.724506901999973,
Americana,MP10,2026-09-13 08:00:00+00:00,11.0,-47.34745636799994,-22.724506901999973,
Americana,MP10,2026-09-13 09:00:00+00:00,11.0,-47.34745636799994,-22.724506901999973,
Americana,MP10,2026-09-13 10:00:00+00:00,11.0,-47.34745636799994,-22.724506901999973,
Americana,MP10,2026-09-13 11:00:00+00:00,11.0,-47.34745636799994,-22.724506901999973,
Americana,MP10,2026-09-13 12:00:00+00:00,11.0,-47.34745636799994,-22.724506901999973,
Americana,MP10,2026-09-13 13:00:00+00:00,11.0,-47.34745636799994,-22.724506901999973,
Americana,MP10,2026-09-13 14:00:00+00:00,11.0,-47.34745636799994,-22.724506901999973,
Americana,MP10,2026-09-13 15:00:00+00:00,11.0,-47.34745636799994,-22.724506901999973,
Americana,MP10,2026-09-13 16:00:00+00:00,11.0,-47.34745636799994,-22.724506901999973,
Americana,MP10,2026-09-13 17:00:00+00:00,11.0,-47.34745636799994,-22.724506901999973,
Americana,MP10,2026-09-13 18:00:00+00:00,11.0,-47.34745636799994,-22.724506901999973,
Araraquara,MP10,2026-09-11 19:00:00+00:00,11.0,-48.185831812999936,-21.782522145999963,
Araraquara,MP10,2026-09-11 20:00:00+00:00,12.0,-48.185831812999936,-21.782522145999963,
Araraquara,MP10,2026-09-11 21:00:00+00:00,13.0,-48.185831812999936,-21.782522145999963,
Araraquara,MP10,2026-09-11 22:00:00+00:00,13.0,-48.185831812999936,-21.782522145999963,
Araraquara,MP10,2026-09-11 23:00:00+00:00,14.0,-48.185831812999936,-21.782522145999963,
Araraquara,MP10,2026-09-12 00:00:00+00:00,15.0,-48.185831812999936,-21.782522145999963,
Araraquara,MP10,2026-09-12 01:00:00+00:00,16.0,-48.185831812999936,-21.782522145999963,
Araraquara,MP10,2026-09-12 02:00:00+00:00,17.0,-48.185831812999936,-21.782522145999963,
Araraquara,MP10,2026-09-12 03:00:00+00:00,18.0,-48.185831812999936,-21.782522145999963,
Araraquara,MP10,2026-09-12 04:00:00+00:00,18.0,-48.185831812999936,-21.782522145999963,
Araraquara,MP10,2026-09-12 05:00:00+00:00,19.0,-48.185831812999936,-21.782522145999963,
Araraquara,MP10,2026-09-12 06:00:00+00:00,19.0,-48.185831812999936,-21.782522145999963,
Araraquara,MP10,2026-09-12 07:00:00+00:00,19.0,-48.185831812999936,-21.782522145999963,
Araraquara,MP10,2026-09-12 08:00:00+00:00,19.0,-48.185831812999936,-21.782522145999963,
Araraquara,MP10,2026-09-12 09:00:00+00:00,19.0,-48.185831812999936,-21.782522145999963,
Araraquara,MP10,2026-09-12 10:00:00+00:00,19.0,-48.185831812999936,-21.782522145999963,
Araraquara,MP10,2026-09-12 11:00:00+00:00,19.0,-48.185831812999936,-21.782522145999963,
Araraquara,MP10,2026-09-12 12:00:00+00:00,19.0,-48.185831812999936,-21.782522145999963,
