cod_ibge,nome,pop_estimada,int_resp,int_circ,int_resp_65mais,int_resp_0a4,obitos_resp,taxa_resp_10mil,taxa_circ_10mil,letalidade_resp_pct,aod_media,aod_pixels,aod_validos_pct
3503901,Arujá,90644,282,405,66,79,37,31.1,44.7,13.1,0.1479671448469162,22,9.1
3505708,Barueri,336015,2550,3244,474,1023,133,75.9,96.5,5.2,0.18788422644138336,13,7.7
3506607,Biritiba Mirim,30599,100,203,36,24,16,32.7,66.3,16.0,0.08068636804819107,67,77.6
3509007,Caieiras,98810,452,819,140,85,32,45.7,82.9,7.1,0.16569094359874725,22,9.1
3509205,Cajamar,99249,371,586,156,67,66,37.4,59.0,17.8,0.15301886200904846,24,75.0
3510609,Carapicuíba,398772,2223,2296,372,933,137,55.7,57.6,6.2,0.21238930523395538,9,22.2
3513009,Cotia,291704,1027,1379,253,296,126,35.2,47.3,12.3,0.10954149812459946,73,65.8
3513801,Diadema,403802,1667,2706,550,235,214,41.3,67.0,12.8,,7,0.0
3515004,Embu das Artes,260113,1783,1926,537,499,157,68.5,74.0,8.8,0.17266488075256348,17,47.1
3515103,Embu-Guaçu,69041,602,773,251,118,58,87.2,112.0,9.6,0.09947147965431213,34,100.0
3515707,Ferraz de Vasconcelos,186816,799,948,160,308,74,42.8,50.7,9.3,,8,0.0
3516309,Francisco Morato,171806,1661,1572,293,677,93,96.7,91.5,5.6,,13,0.0
3516408,Franco da Rocha,150648,435,1361,133,76,53,28.9,90.3,12.2,0.21980246901512146,32,15.6
3518305,Guararema,32785,251,384,110,42,25,76.6,117.1,10.0,,60,0.0
3518800,Guarulhos,1351284,5344,7077,1341,2109,663,39.5,52.4,12.4,0.1466752588748932,73,23.3
3522208,Itapecerica da Serra,163187,1123,1367,308,376,111,68.8,83.8,9.9,0.10572382062673569,34,47.1
3522505,Itapevi,243967,1309,1221,245,545,92,53.7,50.0,7.0,0.16316337883472443,18,27.8
3523107,Itaquaquecetuba,384436,1722,2024,451,477,247,44.8,52.6,14.3,,17,0.0
3525003,Jandira,121848,457,498,109,150,37,37.5,40.9,8.1,,4,0.0
3526209,Juquitiba,27929,301,273,80,99,34,107.8,97.7,11.3,0.10273551940917969,118,75.4
3528502,Mairiporã,98241,554,591,135,198,41,56.4,60.2,7.4,0.20339898765087128,68,4.4
3529401,Mauá,429064,1247,2210,305,370,147,29.1,51.5,11.8,,12,0.0
3530607,Mogi das Cruzes,472255,2508,3454,674,817,240,53.1,73.1,9.6,0.04349129647016525,158,13.9
3534401,Osasco,761441,2855,3970,878,824,363,37.5,52.1,12.7,0.26371127367019653,13,30.8
3539103,Pirapora do Bom Jesus,19005,145,86,28,51,11,76.3,45.3,7.6,0.13291989266872406,23,65.2
3539806,Poá,106288,366,641,95,136,43,34.4,60.3,11.7,,3,0.0
3543303,Ribeirão Pires,119023,469,734,195,66,58,39.4,61.7,12.4,,23,0.0
3544103,Rio Grande da Serra,45331,107,249,32,16,16,23.6,54.9,15.0,,8,0.0
3545001,Salesópolis,15368,146,157,84,20,22,95.0,102.2,15.1,0.09930984675884247,94,20.2
3546801,Santa Isabel,54775,310,439,167,27,67,56.6,80.1,21.6,0.16345621645450592,81,40.7
3547304,Santana de Parnaíba,165193,1140,895,273,409,61,69.0,54.2,5.4,0.19973605871200562,42,11.9
3547809,Santo André,784290,2923,3914,1129,544,440,37.3,49.9,15.1,,40,0.0
3548708,São Bernardo do Campo,842558,2868,4882,959,684,276,34.0,57.9,9.6,0.0802030935883522,93,52.7
3548807,São Caetano do Sul,173216,1486,1907,747,260,175,85.8,110.1,11.8,,4,0.0
3549953,São Lourenço da Serra,16541,96,162,19,33,5,58.0,97.9,5.2,0.10317794978618622,40,100.0
3550308,São Paulo,11911337,57541,69228,14198,18927,4949,48.3,58.1,8.6,0.1598014235496521,337,40.9
3552502,Suzano,321600,993,1515,294,284,150,30.9,47.1,15.1,,44,0.0
3552809,Taboão da Serra,286201,1593,2019,284,607,102,55.7,70.5,6.4,0.2468351274728775,4,100.0
3556453,Vargem Grande Paulista,52574,228,327,69,49,36,43.4,62.2,15.8,0.10566121339797974,8,100.0
