cod_ibge6,municipio,competencia,mes_internacao,capitulo,subgrupo,faixa_etaria,internacoes,obitos,dias_permanencia,valor_total_rs
350390,Arujá,2025-07,2025-03,respiratorio (J00-J99),outras respiratorias,0-4,1,1,94,9931.59
350390,Arujá,2025-07,2025-05,circulatorio (I00-I99),circulatorio (I00-I99),5-64,2,0,61,6997.22
350390,Arujá,2025-07,2025-05,respiratorio (J00-J99),pneumonia (J12-J18),65+,2,1,54,7430.12
350390,Arujá,2025-07,2025-06,circulatorio (I00-I99),circulatorio (I00-I99),5-64,6,0,50,3971.72
350390,Arujá,2025-07,2025-06,circulatorio (I00-I99),circulatorio (I00-I99),65+,3,0,6,11546.27
350390,Arujá,2025-07,2025-06,respiratorio (J00-J99),DPOC e asma (J40-J47),5-64,1,0,3,517.2
350390,Arujá,2025-07,2025-06,respiratorio (J00-J99),outras respiratorias,0-4,1,0,16,7378.61
350390,Arujá,2025-07,2025-06,respiratorio (J00-J99),outras respiratorias,5-64,1,0,40,1598.51
350390,Arujá,2025-07,2025-06,respiratorio (J00-J99),pneumonia (J12-J18),0-4,3,0,25,2180.17
350390,Arujá,2025-07,2025-06,respiratorio (J00-J99),pneumonia (J12-J18),5-64,2,0,32,2896.84
350390,Arujá,2025-07,2025-06,respiratorio (J00-J99),pneumonia (J12-J18),65+,2,2,58,28602.55
350390,Arujá,2025-07,2025-07,circulatorio (I00-I99),circulatorio (I00-I99),5-64,16,1,78,82136.54
350390,Arujá,2025-07,2025-07,circulatorio (I00-I99),circulatorio (I00-I99),65+,13,1,64,25683.67
350390,Arujá,2025-07,2025-07,respiratorio (J00-J99),DPOC e asma (J40-J47),0-4,1,0,4,525.2
350390,Arujá,2025-07,2025-07,respiratorio (J00-J99),DPOC e asma (J40-J47),5-64,2,0,5,1017.06
350390,Arujá,2025-07,2025-07,respiratorio (J00-J99),outras respiratorias,0-4,5,0,19,4190.31
350390,Arujá,2025-07,2025-07,respiratorio (J00-J99),outras respiratorias,5-64,1,0,0,1224.59
350390,Arujá,2025-07,2025-07,respiratorio (J00-J99),outras respiratorias,65+,2,1,5,5066.65
350390,Arujá,2025-07,2025-07,respiratorio (J00-J99),pneumonia (J12-J18),0-4,1,0,3,201.07
350390,Arujá,2025-07,2025-07,respiratorio (J00-J99),pneumonia (J12-J18),5-64,5,0,66,4846.42
350570,Barueri,2025-07,2025-04,circulatorio (I00-I99),circulatorio (I00-I99),65+,1,0,3,463.21
350570,Barueri,2025-07,2025-04,respiratorio (J00-J99),outras respiratorias,65+,1,0,12,407.87
350570,Barueri,2025-07,2025-04,respiratorio (J00-J99),pneumonia (J12-J18),5-64,2,0,14,1271.3
350570,Barueri,2025-07,2025-05,circulatorio (I00-I99),circulatorio (I00-I99),5-64,6,0,76,12590.47
350570,Barueri,2025-07,2025-05,circulatorio (I00-I99),circulatorio (I00-I99),65+,2,0,47,15552.51
350570,Barueri,2025-07,2025-05,respiratorio (J00-J99),outras respiratorias,0-4,1,0,2,187.13
350570,Barueri,2025-07,2025-05,respiratorio (J00-J99),pneumonia (J12-J18),0-4,1,0,45,7312.94
350570,Barueri,2025-07,2025-05,respiratorio (J00-J99),pneumonia (J12-J18),5-64,1,0,16,1425.84
350570,Barueri,2025-07,2025-05,respiratorio (J00-J99),pneumonia (J12-J18),65+,1,0,12,6160.52
350570,Barueri,2025-07,2025-06,circulatorio (I00-I99),circulatorio (I00-I99),5-64,28,1,279,113693.45
350570,Barueri,2025-07,2025-06,circulatorio (I00-I99),circulatorio (I00-I99),65+,42,5,469,79485.05
350570,Barueri,2025-07,2025-06,respiratorio (J00-J99),DPOC e asma (J40-J47),5-64,2,1,14,9582.55
350570,Barueri,2025-07,2025-06,respiratorio (J00-J99),DPOC e asma (J40-J47),65+,2,0,14,1315.47
350570,Barueri,2025-07,2025-06,respiratorio (J00-J99),outras respiratorias,0-4,7,0,41,7625.17
350570,Barueri,2025-07,2025-06,respiratorio (J00-J99),outras respiratorias,5-64,6,0,49,11730.99
350570,Barueri,2025-07,2025-06,respiratorio (J00-J99),outras respiratorias,65+,2,1,19,8542.46
350570,Barueri,2025-07,2025-06,respiratorio (J00-J99),pneumonia (J12-J18),0-4,9,0,97,27420.3
350570,Barueri,2025-07,2025-06,respiratorio (J00-J99),pneumonia (J12-J18),5-64,5,0,41,4423.08
350570,Barueri,2025-07,2025-06,respiratorio (J00-J99),pneumonia (J12-J18),65+,12,3,120,8304.59
350570,Barueri,2025-07,2025-07,circulatorio (I00-I99),circulatorio (I00-I99),0-4,3,2,26,16545.92
350570,Barueri,2025-07,2025-07,circulatorio (I00-I99),circulatorio (I00-I99),5-64,117,4,343,151557.03
350570,Barueri,2025-07,2025-07,circulatorio (I00-I99),circulatorio (I00-I99),65+,89,13,401,131030.69
350570,Barueri,2025-07,2025-07,respiratorio (J00-J99),DPOC e asma (J40-J47),0-4,4,0,9,1988.76
350570,Barueri,2025-07,2025-07,respiratorio (J00-J99),DPOC e asma (J40-J47),5-64,10,0,49,8726.32
350570,Barueri,2025-07,2025-07,respiratorio (J00-J99),DPOC e asma (J40-J47),65+,4,0,19,2135.82
350570,Barueri,2025-07,2025-07,respiratorio (J00-J99),outras respiratorias,0-4,43,0,146,28722.37
350570,Barueri,2025-07,2025-07,respiratorio (J00-J99),outras respiratorias,5-64,31,1,62,36644.95
350570,Barueri,2025-07,2025-07,respiratorio (J00-J99),outras respiratorias,65+,9,3,40,8087.49
350570,Barueri,2025-07,2025-07,respiratorio (J00-J99),pneumonia (J12-J18),0-4,28,1,100,19389.7
350570,Barueri,2025-07,2025-07,respiratorio (J00-J99),pneumonia (J12-J18),5-64,15,0,77,12890.71
350570,Barueri,2025-07,2025-07,respiratorio (J00-J99),pneumonia (J12-J18),65+,16,5,94,12170.56
350660,Biritiba Mirim,2025-07,2025-06,circulatorio (I00-I99),circulatorio (I00-I99),5-64,3,0,9,19900.5
350660,Biritiba Mirim,2025-07,2025-06,circulatorio (I00-I99),circulatorio (I00-I99),65+,2,1,40,2387.26
350660,Biritiba Mirim,2025-07,2025-06,respiratorio (J00-J99),outras respiratorias,0-4,2,0,10,2372.84
350660,Biritiba Mirim,2025-07,2025-06,respiratorio (J00-J99),pneumonia (J12-J18),5-64,3,1,17,5056.82
350660,Biritiba Mirim,2025-07,2025-07,circulatorio (I00-I99),circulatorio (I00-I99),5-64,8,0,26,7513.46
350660,Biritiba Mirim,2025-07,2025-07,circulatorio (I00-I99),circulatorio (I00-I99),65+,6,2,12,2436.27
350660,Biritiba Mirim,2025-07,2025-07,respiratorio (J00-J99),DPOC e asma (J40-J47),65+,1,0,2,623.6
350660,Biritiba Mirim,2025-07,2025-07,respiratorio (J00-J99),outras respiratorias,5-64,1,1,0,1375.63
350660,Biritiba Mirim,2025-07,2025-07,respiratorio (J00-J99),pneumonia (J12-J18),0-4,3,0,14,2157.3
350660,Biritiba Mirim,2025-07,2025-07,respiratorio (J00-J99),pneumonia (J12-J18),5-64,2,1,18,2574.34
350660,Biritiba Mirim,2025-07,2025-07,respiratorio (J00-J99),pneumonia (J12-J18),65+,5,2,42,4474.94
350900,Caieiras,2025-07,2025-04,respiratorio (J00-J99),pneumonia (J12-J18),65+,1,1,0,582.42
