distrito,latitude,longitude,populacao,pm25_exposicao,rr_cardiovascular,rr_respiratorio,internacoes_cardio_atribuiveis,internacoes_resp_atribuiveis,total_internacoes_atribuiveis
Sé / República,-23.5489,-46.6388,150000,20.86,1.1352,1.1905,169,312,481
Pinheiros,-23.567,-46.693,290000,18.79,1.1167,1.1639,219,345,564
Mooca,-23.56,-46.6,320000,19.47,1.1227,1.1725,306,456,762
Santo Amaro,-23.65,-46.705,240000,18.02,1.1098,1.154,193,307,500
Santana / Tucuruvi,-23.495,-46.62,330000,18.07,1.1102,1.1546,258,435,693
Itaquera,-23.54,-46.46,520000,18.25,1.1118,1.1569,382,732,1114
Lapa,-23.52,-46.7,310000,19.3,1.1212,1.1704,259,393,652
São Mateus,-23.6,-46.47,430000,18.11,1.1106,1.1552,309,618,927
Campo Limpo,-23.63,-46.76,390000,18.21,1.1115,1.1564,276,527,803
Parelheiros,-23.77,-46.71,160000,13.01,1.0662,1.0922,59,127,186
