estacao,municipio,pm25_medio,pm25_grade_sintetica,residuo
Pinheiros,São Paulo,18.4,17.97,-0.43
Cerqueira César,São Paulo,20.1,19.91,-0.19
Congonhas,São Paulo,22.8,21.01,-1.79
Parque D. Pedro II,São Paulo,21.5,23.47,1.97
Santana,São Paulo,17.6,20.58,2.98
Mooca,São Paulo,19.3,22.35,3.05
Grajaú - Parelheiros,São Paulo,12.3,17.0,4.7
Interlagos,São Paulo,15.8,14.8,-1.0
Santo Amaro,São Paulo,18.0,17.54,-0.46
Itaquera,São Paulo,16.9,14.98,-1.92
Mauá,Mauá,20.7,16.69,-4.01
Santo André - Capuava,Santo André,21.2,16.44,-4.76
São Caetano do Sul,São Caetano do Sul,19.5,15.86,-3.64
Diadema,Diadema,18.9,17.02,-1.88
Osasco,Osasco,20.4,18.55,-1.85
Guarulhos - Paço Municipal,Guarulhos,19.8,16.88,-2.92
Taboão da Serra,Taboão da Serra,17.9,15.65,-2.25
